Probe Name,Annotation,Accession #,NS Probe ID,Class Name,Analyte Type,% Samples above Threshold,Positive Flag,Class Active,Avg Count,Min Count,Max Count,20220412_209753990323_F12-82408-6_05.RCC,20220412_209753990323_F13-28768-1_02.RCC ,20220412_209753990323_F13-78109-1_09.RCC ,20220412_209753990323_F13-82836-4_04.RCC,20220412_209753990323_F14-08645-3_01.RCC,20220412_209753990323_F14-10362-3_03.RCC,20220412_209753990323_F15-41499-1_10.RCC,20220412_209753990323_F15-85066-4_06.RCC,20220412_209753990323_F16-0040-1_11.RCC,20220412_209753990323_F16-5220-1_08.RCC,20220412_209753990323_PanelStandard1-4745958_12.RCC,20220412_209753990323_f14-07689-1_07.RCC,20220421_209754330323_089-62574_11.RCC,20220421_209754330323_089-79521_10.RCC,20220421_209754330323_F16-2154-3_12.RCC,20220421_209754330323_F18-16288-6-8_04.RCC,20220421_209754330323_F18-32890-3-4_03.RCC,20220421_209754330323_F19-48098-1-2_02.RCC,20220421_209754330323_F19-48476-1-2_01.RCC ,20220421_209754330323_PanelStandard1-4762199_05.RCC 
ABCB1,,NM_001003215.1,NM_001003215.1:1425,Endogenous,mRNA,100,FALSE,2,628.45,154,1216,197,555,911,480,533,592,571,506,561,890,1216,487,154,533,692,528,361,828,759,1215
ABL1,,XM_005625232.1,XM_005625232.1:3268,Endogenous,mRNA,100,FALSE,2,889.25,207,1788,533,901,1523,373,398,1353,537,824,645,776,1355,1788,207,279,548,740,726,1224,1603,1452
ACOD1,,XM_542615.6,XM_542615.6:1430,Endogenous,mRNA,100,FALSE,2,278.3,6,2003,96,22,52,44,6,189,130,44,229,295,1834,29,56,7,275,128,70,43,14,2003
ACVR1,,XM_022414922.1,XM_022414922.1:1140,Endogenous,mRNA,100,FALSE,2,899.8,350,1347,411,948,920,350,493,1259,859,679,1307,1305,1251,989,426,412,1101,869,651,1267,1152,1347
ADA,,XM_005635097.2,XM_005635097.2:1461,Endogenous,mRNA,100,FALSE,2,1212.2,67,3917,601,248,649,407,67,3563,3393,321,3917,2460,1598,193,256,185,2081,1090,877,453,166,1719
ADAMTS2,,XM_843844.4,XM_843844.4:5790,Endogenous,mRNA,100,FALSE,2,290.85,45,1424,121,85,178,85,45,362,220,132,353,355,1292,104,108,107,229,234,138,155,90,1424
ADGRE5,,NM_001048110.1,NM_001048110.1:1401,Endogenous,mRNA,100,FALSE,2,393.15,53,1005,419,422,187,121,453,621,53,152,590,297,843,423,55,146,76,104,208,910,778,1005
ADORA2A,,NM_001003278.1,NM_001003278.1:1110,Endogenous,mRNA,100,FALSE,2,465,109,1422,164,274,280,166,161,428,402,658,564,668,1420,109,166,146,1107,375,323,273,194,1422
ADORA3,,NM_001003178.1,NM_001003178.1:925,Endogenous,mRNA,100,FALSE,2,372.15,56,1388,153,152,271,191,56,626,409,188,553,443,1277,186,145,73,363,277,235,287,170,1388
AICDA,,NM_001003380.1,NM_001003380.1:105,Endogenous,mRNA,100,FALSE,2,183.9,21,1019,62,25,61,42,21,284,175,43,225,197,951,25,58,42,188,112,79,44,25,1019
AIRE,,XM_022413324.1,XM_022413324.1:323,Endogenous,mRNA,100,FALSE,2,132.4,12,806,34,18,52,30,12,152,98,40,125,87,736,29,64,29,106,88,60,41,41,806
AKT1,,XM_548000.4,XM_548000.4:1579,Endogenous,mRNA,100,FALSE,2,2198.05,1067,4444,2938,2600,4444,2152,1733,1431,2199,2011,2350,2513,1067,2241,1181,1835,1605,2213,2150,3125,3042,1131
AKT3,,XM_022421141.1,XM_022421141.1:1185,Endogenous,mRNA,100,FALSE,2,1250.45,318,2158,893,1712,1571,2158,318,1039,905,1151,1022,1860,599,950,902,1654,2068,2025,710,1075,1731,666
ALCAM,,NM_001313804.1,NM_001313804.1:1000,Endogenous,mRNA,100,FALSE,2,4030.55,516,8091,1214,5334,4990,3085,2290,7582,2338,4080,2860,5001,1496,6838,516,2763,6397,3619,3586,6935,8091,1596
AMBP,,XM_538807.6,XM_538807.6:396,Endogenous,mRNA,100,FALSE,2,148.75,4,1393,15,10,10,7,11,6,10,8,8,13,1280,4,18,122,12,9,11,14,14,1393
ANKRD22,,XM_005636647.3,XM_005636647.3:602,Endogenous,mRNA,100,FALSE,2,225.4,64,1017,115,115,178,90,65,219,210,122,181,257,972,135,64,71,230,132,121,123,91,1017
ANXA1,,XM_533524.2,XM_533524.2:790,Endogenous,mRNA,100,FALSE,2,1507.15,612,3234,1741,1304,2531,1645,1115,612,1256,1941,1402,1565,1397,2085,977,1559,1082,780,1082,3234,1389,1446
APC,,XM_014111995.2,XM_014111995.2:8219,Endogenous,mRNA,100,FALSE,2,2315.8,884,3980,1041,3195,2423,1886,1161,3016,2290,1963,2032,3980,1535,2353,884,1614,3040,3430,1479,3936,3398,1660
APOE,,XM_022425020.1,XM_022425020.1:301,Endogenous,mRNA,100,FALSE,2,83677.9,738,135727,97763,93741,91885,124751,82835,35226,85743,128630,74917,77022,738,67102,59943,135727,74585,90254,91856,127614,132429,797
APP,,NM_001293279.1,NM_001293279.1:1805,Endogenous,mRNA,100,FALSE,2,9454.85,1081,21479,5371,12791,12016,18801,2741,3415,6597,11527,6540,18931,1081,6780,3555,11384,21479,15387,4653,9814,15130,1104
AR,,NM_001003053.1,NM_001003053.1:2157,Endogenous,mRNA,100,FALSE,2,236.35,15,1316,40,36,107,57,15,223,362,83,189,330,1178,42,202,45,168,131,102,46,55,1316
ARG1,,XM_532053.2,XM_532053.2:680,Endogenous,mRNA,100,FALSE,2,315.7,70,1665,155,250,95,105,75,204,118,109,216,368,1456,70,118,89,606,299,101,108,107,1665
ARG2,,XM_022421753.1,XM_022421753.1:897,Endogenous,mRNA,100,FALSE,2,351.1,77,1273,199,294,245,481,80,77,262,143,207,344,1197,139,139,396,470,338,146,262,330,1273
ATF1,,XR_295821.1,XR_295821.1:442,Endogenous,mRNA,100,FALSE,2,678.45,226,1278,567,500,670,374,226,908,561,423,995,1002,1190,574,547,354,741,709,511,728,711,1278
ATF2,,XM_005640334.3,XM_005640334.3:710,Endogenous,mRNA,100,FALSE,2,1719.35,637,2750,1126,1972,2613,1606,725,2001,1275,1426,1761,2750,1275,1988,637,1360,2192,2295,1113,2147,2747,1378
ATG10,,XM_005618157.3,XM_005618157.3:657,Endogenous,mRNA,100,FALSE,2,202.2,16,1193,62,69,142,61,16,226,159,40,169,172,1075,70,49,46,182,88,71,71,83,1193
ATG12,,XM_022425133.1,XM_022425133.1:73,Endogenous,mRNA,100,FALSE,2,357.7,59,1190,157,188,250,259,59,446,288,142,554,474,1141,135,252,180,479,366,267,150,177,1190
ATG16L1,,XM_845571.5,XM_845571.5:1033,Endogenous,mRNA,100,FALSE,2,586.9,173,1093,287,758,829,413,364,592,294,462,592,708,1011,647,173,341,429,622,404,765,954,1093
ATG5,,XM_014118180.2,XM_014118180.2:730,Endogenous,mRNA,100,FALSE,2,1190.3,344,1847,705,1436,1806,868,344,1690,991,941,821,1847,1423,1358,449,817,1158,1256,961,1658,1673,1604
ATG7,,XM_022406360.1,XM_022406360.1:1119,Endogenous,mRNA,100,FALSE,2,699.3,220,1194,343,531,883,554,220,887,910,831,445,858,843,1062,344,489,727,719,549,1194,653,944
